epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.18196000158786774,3.427133798599243,0.001,0.1850000023841858,3.814703941345215
1,0.40672001242637634,2.189290761947632,0.001,0.4440000057220459,2.129598379135132
2,0.5205000042915344,1.7525736093521118,0.001,0.47850000858306885,1.9834462404251099
3,0.5876399874687195,1.4871551990509033,0.001,0.5001000165939331,2.010172128677368
4,0.7100800275802612,1.001800775527954,0.0005,0.6395999789237976,1.3299696445465088
5,0.7715799808502197,0.7583901286125183,0.0005,0.6498000025749207,1.3676416873931885
6,0.8122400045394897,0.6269139051437378,0.0005,0.6550999879837036,1.3726848363876343
7,0.8876399993896484,0.3606356382369995,0.00025,0.6919000148773193,1.3241825103759766
8,0.925059974193573,0.23926326632499695,0.00025,0.6852999925613403,1.4821656942367554
9,0.9441400170326233,0.18077394366264343,0.00025,0.6848999857902527,1.5385048389434814
